time,vlar,lrar,rmar,dsar,vlarF,lrarF,rmarF,dsarF,vlf,lf,rsam,mf,hf,vlfF,lfF,rsamF,mfF,hfF
04/12/2021 0:00,1.682208095,13.27382179,2.503874649,1.320058973,1.9054288,12.9775127,2.342220749,1.327430873,46269437789,2.35887E+11,1.42354E+11,1.13809E+11,1.95642E+11,47167802648,1.90942E+11,1.32067E+11,1.10363E+11,1.87994E+11
04/12/2021 0:10,1.113559637,17.73092192,1.979968276,1.270621516,1.511776928,15.88529861,1.691413916,1.243278599,53196066786,2.15472E+11,1.46528E+11,1.3707E+11,2.43548E+11,53393427049,99041188122,1.29662E+11,1.34123E+11,2.42936E+11
04/12/2021 0:20,1.886946902,14.37648811,1.689053962,1.260562715,1.878537617,14.4777651,1.690292552,1.256110746,48434631963,90912573918,1.22339E+11,1.30274E+11,2.27779E+11,47390528931,91181322159,1.20065E+11,1.28692E+11,2.22907E+11
04/12/2021 0:30,1.513073588,14.98654622,1.71034495,1.303008578,1.503143726,15.1286255,1.685884483,1.30976842,53594656329,1.05843E+11,1.45301E+11,1.48729E+11,2.54988E+11,50960103925,1.06977E+11,1.43065E+11,1.48394E+11,2.53619E+11
04/12/2021 0:40,1.307035059,14.87682864,2.344326281,1.332818326,1.236217382,17.38833828,2.220709884,1.305242449,54667241510,2.05867E+11,1.70104E+11,1.40064E+11,2.3654E+11,55271326971,2.20193E+11,1.56641E+11,1.34765E+11,2.32397E+11
04/12/2021 0:50,1.724213294,13.84162742,1.751892756,1.264209175,1.806216176,13.51021491,1.730886914,1.247093496,47885479829,1.14923E+11,1.34383E+11,1.37102E+11,2.43157E+11,47956682984,1.07949E+11,1.29988E+11,1.33851E+11,2.41599E+11
04/12/2021 1:00,1.637779295,13.46239128,1.944067957,1.305987752,1.543142896,15.25674568,1.7468958,1.289006437,54168749401,1.09892E+11,1.47042E+11,1.36558E+11,2.37463E+11,54299412579,96678112126,1.32707E+11,1.32605E+11,2.3167E+11
04/12/2021 1:10,1.492669523,15.09558511,1.834967281,1.306348225,1.66930029,13.37723871,1.711020391,1.324768404,50995079332,1.50272E+11,1.44908E+11,1.4106E+11,2.4566E+11,49430737665,1.06732E+11,1.43109E+11,1.45873E+11,2.50187E+11
04/12/2021 1:20,2.799642767,13.53552984,1.99338249,1.286176829,2.800921794,14.22857772,1.970816816,1.293008028,58868188298,91439717833,1.30581E+11,1.18237E+11,2.0015E+11,61111659871,91647115901,1.28336E+11,1.17253E+11,1.97125E+11
04/12/2021 1:30,1.713039676,15.46908755,2.510104361,1.305632276,2.686331546,13.17895607,1.879756628,1.305167365,57364652603,2.18083E+11,1.59562E+11,1.28726E+11,2.16568E+11,59091890547,92744741808,1.36927E+11,1.29732E+11,2.1881E+11
04/12/2021 1:40,1.715920965,14.71866339,2.185594491,1.292014527,1.743868459,17.72615503,1.794504009,1.293720346,48240921557,1.12721E+11,1.25879E+11,1.10128E+11,1.87285E+11,47350654510,98327736279,1.11287E+11,1.10652E+11,1.89073E+11
04/12/2021 1:50,2.277040167,11.97847011,2.290684687,1.315107645,1.950195282,13.69274483,2.108397698,1.297707782,61453355357,1.4744E+11,1.55833E+11,1.2814E+11,2.11586E+11,57431701782,1.52063E+11,1.46926E+11,1.29165E+11,2.15732E+11
04/12/2021 2:00,2.703307396,13.05682245,2.035453025,1.281651428,3.094902877,13.03237316,1.851617627,1.285472589,70107964873,1.32685E+11,1.62266E+11,1.46699E+11,2.5294E+11,72947185253,1.23921E+11,1.57806E+11,1.52143E+11,2.59108E+11
04/12/2021 2:10,2.392897272,13.87996378,1.814755352,1.303926378,2.409698867,13.86158982,1.816485078,1.285825891,69020465762,1.30113E+11,1.67096E+11,1.64772E+11,2.77003E+11,69085538054,1.18293E+11,1.64899E+11,1.611E+11,2.74239E+11
04/12/2021 2:20,1.914596474,13.68450681,2.293907061,1.358063766,2.48327586,11.1733882,2.177308832,1.363689741,64967353302,3.01059E+11,2.00005E+11,1.64732E+11,2.67949E+11,69202573755,2.2279E+11,2.04478E+11,1.73537E+11,2.79348E+11
04/12/2021 2:30,2.283417338,11.60922773,1.984057077,1.331607573,2.007902373,11.96894847,2.004269746,1.340943461,56204489160,1.32027E+11,1.70023E+11,1.57113E+11,2.62402E+11,53293964807,1.4037E+11,1.65872E+11,1.53568E+11,2.54021E+11
